"ADDRESS","LOCATION","TYPE","LONGITUDE","LATITUDE"
"1851 JUBILEE AVENUE","MCVEETY PARK","OUTDOOR RINK BOARDED",-104.60739543,50.4204928195
"126 SANGSTER BOULEVARD","STAN OXELGREN PARK","OUTDOOR RINK BOARDED",-104.633308052,50.4896579059
"2606 GRANT ROAD","MIKE BADHAM PARK","OUTDOOR RINK BOARDED",-104.611114306,50.4016459794
"165 WINDFIELD ROAD","UNIVERSITY PARK","OUTDOOR RINK BOARDED",-104.563248884,50.4314422035
"5310 4TH AVENUE","ROSEMONT SCHOOL PARK","OUTDOOR RINK BOARDED",-104.656584149,50.4634386343
"1601 BOND STREET","GLEN ELM PARK","OUTDOOR RINK BOARDED",-104.566825538,50.4529964191
"93 LINCOLN DRIVE","DR. A.E. PERRY SCHOOL","OUTDOOR RINK BOARDED",-104.632805672,50.4019877651
"901 GARNET STREET","GRASSICK PLAYGROUND","OUTDOOR RINK BOARDED",-104.626455478,50.4640531379
"8045 KESTRAL DRIVE","WESTHILL/JOANNE GOULET","OUTDOOR RINK BOARDED",-104.696765119,50.4778808348
"3820 VICTORIA AVENUE","LESLIE PARK","OUTDOOR RINK BOARDED",-104.634710044,50.4478414622
"2626 E DEWDNEY AVENUE","GLENCAIRN PARK","OUTDOOR RINK BOARDED",-104.541382455,50.4568764307
"305 ROSE STREET","IMPERIAL PARK","OUTDOOR RINK BOARDED",-104.606960993,50.4736187969
"2910 ATHOL STREET","LAKEVIEW PARK","OUTDOOR RINK BOARDED",-104.628712906,50.4322078439
"6310 7TH AVENUE N","RUTH BUCK PARK","OUTDOOR RINK BOARDED",-104.672465188,50.4766028235
"100 RINK AVENUE","LITZENBERGER PARK","OUTDOOR RINK BOARDED",-104.650144108,50.4886929263
"3043 E ARENS ROAD","READY PARK","OUTDOOR RINK BOARDED",-104.540468897,50.4364036526
"250 N GARNET STREET","MCMURCHY PARK","OUTDOOR RINK BOARDED",-104.628758008,50.4802720051
"945 REYNOLDS STREET","BLOCK 11B PARK","OUTDOOR RINK BOARDED",-104.588994428,50.4638355171
"2230 LINDSAY STREET","GOCKI PARK","OUTDOOR RINK BOARDED",-104.587548225,50.4434994351
