OBJECTID,ADDRESS,NAME,LOCATION,TYPE,LONGITUDE,LATITUDE
1,200 BROAD STREET,IMPERIAL SCHOOL - BASKETBALL,IMPERIAL SCHOOL,BASKETBALL,-104.60767314100,50.47543571310
2,200 BROAD STREET,IMPERIAL SCHOOL - BALL DIAMOND BS #249,IMPERIAL SCHOOL,BALL DIAMOND,-104.60891603100,50.47489206910
3,200 BROAD ST,IMPERIAL SCHOOL - PLAYGROUND 200 BROAD ST,IMPERIAL SCHOOL,PLAYGROUND,-104.60690252600,50.47482042660
4,200 BROAD STREET,IMPERIAL SCHOOL - ATHLETIC FIELD SOCCER ATHLETIC FIELD,IMPERIAL SCHOOL,ATHLETIC FIELD,-104.60853258500,50.47517184060
5,200 Broad St.,Imperial - Public Elementary School,Imperial - Public Elementary School,Public Elementary School,-104.60793896000,50.47548874000
6,50 DALGLIESH DR,DALGLIESH PARK - PLAYGROUND 50 DALGLIESH DR,DALGLIESH PARK,PLAYGROUND,-104.64895162700,50.48643111920
7,50 DALGLIESH DRIVE,DALGLIESH - ATHLETIC FIELD SOCCER ATHLETIC FIELD,DALGLIESH,ATHLETIC FIELD,-104.64983501700,50.48616303930
8,2705 E HOWELL DR,HOWELL PARK - PLAYGROUND 2705 E HOWELL DR,HOWELL PARK,PLAYGROUND,-104.54420036800,50.46114684180
9,2705 E HOWELL DRIVE,HOWELL MULTI - ATHLETIC FIELD MULTI-USE ATHLETIC FIELD,HOWELL MULTI,ATHLETIC FIELD,-104.54300418100,50.46172334720
10,2705 E HOWELL DRIVE,HOWELL PARK - BALL DIAMOND BS #102,HOWELL PARK,BALL DIAMOND,-104.54481927600,50.46194011410
11,111 E BROADWAY AVENUE,QUEEN ELIZABETH JUBILEE PARK - BASKETBALL,QUEEN ELIZABETH JUBILEE PARK,BASKETBALL,-104.58006020600,50.43723120260
12,111 E BROADWAY AVENUE,QUEEN ELIZABETH JUBILEE PARK - BALL DIAMOND BS #98,QUEEN ELIZABETH JUBILEE PARK,BALL DIAMOND,-104.57991441300,50.43690124360
13,402 HALIFAX ST,HALIFAX/2ND AVE. NORTH PARK - PLAYGROUND 402 HALIFAX ST,HALIFAX/2ND AVE. NORTH PARK,PLAYGROUND,-104.60388538900,50.47218000270
14,120 CAREY ST,CAREY PARK - PLAYGROUND 120 CAREY ST,CAREY PARK,PLAYGROUND,-104.63913782700,50.47633003340
15,6823 GILLMORE DRIVE,MAPLE RIDGE PARK/ST. ANGELA - BALL DIAMOND BS #216,MAPLE RIDGE PARK/ST. ANGELA,BALL DIAMOND,-104.67932297200,50.50011059520
16,6823 GILLMORE DRIVE,ST. ANGELA MERICI - PLAYGROUND 6823 GILLMORE DRIVE,ST. ANGELA MERICI,PLAYGROUND,-104.67973949200,50.50097729320
17,496 SANGSTER BOULEVARD,SANGSTER PARK - ATHLETIC FIELD SOCCER ATHLETIC FIELD,SANGSTER PARK,ATHLETIC FIELD,-104.62647017600,50.48980601720
18,496 SANGSTER BOULEVARD,SANGSTER PARK/DR. HANNA SCHOOL - BALL DIAMOND BS #246,SANGSTER PARK/DR. HANNA SCHOOL,BALL DIAMOND,-104.62810230400,50.48933818310
